State,Year,Quarter,district,registeredUsers
andaman-&-nicobar-islands,2018,1,north and middle andaman ,632
andaman-&-nicobar-islands,2018,1,south andaman ,5846
andaman-&-nicobar-islands,2018,1,nicobars ,262
andaman-&-nicobar-islands,2018,2,north and middle andaman ,911
andaman-&-nicobar-islands,2018,2,south andaman ,8143
andaman-&-nicobar-islands,2018,2,nicobars ,351
andaman-&-nicobar-islands,2018,3,north and middle andaman ,1208
andaman-&-nicobar-islands,2018,3,south andaman ,10474
andaman-&-nicobar-islands,2018,3,nicobars ,467
andaman-&-nicobar-islands,2018,4,north and middle andaman ,1553
andaman-&-nicobar-islands,2018,4,south andaman ,13133
andaman-&-nicobar-islands,2018,4,nicobars ,536
andaman-&-nicobar-islands,2019,1,north and middle andaman ,2013
andaman-&-nicobar-islands,2019,1,south andaman ,15961
andaman-&-nicobar-islands,2019,1,nicobars ,622
andaman-&-nicobar-islands,2019,2,north and middle andaman ,2417
andaman-&-nicobar-islands,2019,2,south andaman ,18621
andaman-&-nicobar-islands,2019,2,nicobars ,693
andaman-&-nicobar-islands,2019,3,north and middle andaman ,2662
andaman-&-nicobar-islands,2019,3,south andaman ,20518
andaman-&-nicobar-islands,2019,3,nicobars ,751
andaman-&-nicobar-islands,2019,4,north and middle andaman ,2955
andaman-&-nicobar-islands,2019,4,south andaman ,22202
andaman-&-nicobar-islands,2019,4,nicobars ,803
andaman-&-nicobar-islands,2020,1,north and middle andaman ,3315
andaman-&-nicobar-islands,2020,1,south andaman ,24174
andaman-&-nicobar-islands,2020,1,nicobars ,879
andaman-&-nicobar-islands,2020,2,north and middle andaman ,4100
andaman-&-nicobar-islands,2020,2,south andaman ,27626
andaman-&-nicobar-islands,2020,2,nicobars ,984
andaman-&-nicobar-islands,2020,3,north and middle andaman ,5355
andaman-&-nicobar-islands,2020,3,south andaman ,34833
andaman-&-nicobar-islands,2020,3,nicobars ,1147
andaman-&-nicobar-islands,2020,4,north and middle andaman ,7076
andaman-&-nicobar-islands,2020,4,south andaman ,43908
andaman-&-nicobar-islands,2020,4,nicobars ,1412
andaman-&-nicobar-islands,2021,1,north and middle andaman ,7833
andaman-&-nicobar-islands,2021,1,south andaman ,48352
andaman-&-nicobar-islands,2021,1,nicobars ,1573
andaman-&-nicobar-islands,2021,2,north and middle andaman ,8493
andaman-&-nicobar-islands,2021,2,south andaman ,51903
andaman-&-nicobar-islands,2021,2,nicobars ,1699
andaman-&-nicobar-islands,2021,3,north and middle andaman ,9263
andaman-&-nicobar-islands,2021,3,south andaman ,55873
andaman-&-nicobar-islands,2021,3,nicobars ,1846
andaman-&-nicobar-islands,2021,4,north and middle andaman ,10002
andaman-&-nicobar-islands,2021,4,south andaman ,59807
andaman-&-nicobar-islands,2021,4,nicobars ,1971
andaman-&-nicobar-islands,2022,1,north and middle andaman ,10720
andaman-&-nicobar-islands,2022,1,south andaman ,63487
andaman-&-nicobar-islands,2022,1,nicobars ,2081
andaman-&-nicobar-islands,2022,2,north and middle andaman ,11379
andaman-&-nicobar-islands,2022,2,south andaman ,66959
andaman-&-nicobar-islands,2022,2,nicobars ,2192
andaman-&-nicobar-islands,2022,3,north and middle andaman ,11897
andaman-&-nicobar-islands,2022,3,south andaman ,70445
andaman-&-nicobar-islands,2022,3,nicobars ,2300
andaman-&-nicobar-islands,2022,4,north and middle andaman ,12361
andaman-&-nicobar-islands,2022,4,south andaman ,73692
andaman-&-nicobar-islands,2022,4,nicobars ,2389
andaman-&-nicobar-islands,2023,1,north and middle andaman ,12941
andaman-&-nicobar-islands,2023,1,south andaman ,77052
andaman-&-nicobar-islands,2023,1,nicobars ,2491
andaman-&-nicobar-islands,2023,2,north and middle andaman ,13600
andaman-&-nicobar-islands,2023,2,south andaman ,80112
andaman-&-nicobar-islands,2023,2,nicobars ,2617
andaman-&-nicobar-islands,2023,3,north and middle andaman ,14216
andaman-&-nicobar-islands,2023,3,south andaman ,83305
andaman-&-nicobar-islands,2023,3,nicobars ,2734
andhra-pradesh,2018,1,east godavari ,350356
andhra-pradesh,2018,1,srikakulam ,143839
andhra-pradesh,2018,1,visakhapatnam ,497187
andhra-pradesh,2018,1,prakasam ,189949
andhra-pradesh,2018,1,anantapur ,241192
andhra-pradesh,2018,1,kurnool ,240133
andhra-pradesh,2018,1,guntur ,317065
andhra-pradesh,2018,1,krishna ,323673
andhra-pradesh,2018,1,spsr nellore ,194475
andhra-pradesh,2018,1,vizianagaram ,128905
andhra-pradesh,2018,1,ysr ,186800
andhra-pradesh,2018,1,west godavari ,213335
andhra-pradesh,2018,1,chittoor ,309541
andhra-pradesh,2018,2,east godavari ,454398
andhra-pradesh,2018,2,srikakulam ,186913
andhra-pradesh,2018,2,visakhapatnam ,636052
andhra-pradesh,2018,2,prakasam ,253458
andhra-pradesh,2018,2,anantapur ,326383
andhra-pradesh,2018,2,kurnool ,319313
andhra-pradesh,2018,2,guntur ,420326
andhra-pradesh,2018,2,krishna ,431965
andhra-pradesh,2018,2,spsr nellore ,261049
andhra-pradesh,2018,2,vizianagaram ,167327
andhra-pradesh,2018,2,ysr ,248657
andhra-pradesh,2018,2,west godavari ,282393
andhra-pradesh,2018,2,chittoor ,414306
andhra-pradesh,2018,3,east godavari ,558982
andhra-pradesh,2018,3,srikakulam ,228456
andhra-pradesh,2018,3,visakhapatnam ,769096
andhra-pradesh,2018,3,prakasam ,314899
andhra-pradesh,2018,3,anantapur ,405855
andhra-pradesh,2018,3,kurnool ,394311
andhra-pradesh,2018,3,guntur ,518931
andhra-pradesh,2018,3,krishna ,537086
andhra-pradesh,2018,3,spsr nellore ,322446
andhra-pradesh,2018,3,vizianagaram ,203655
andhra-pradesh,2018,3,ysr ,308391
andhra-pradesh,2018,3,west godavari ,349782
andhra-pradesh,2018,3,chittoor ,515727
andhra-pradesh,2018,4,east godavari ,694455
andhra-pradesh,2018,4,srikakulam ,284874
andhra-pradesh,2018,4,visakhapatnam ,978288
andhra-pradesh,2018,4,prakasam ,394962
andhra-pradesh,2018,4,anantapur ,510892
andhra-pradesh,2018,4,kurnool ,498582
andhra-pradesh,2018,4,guntur ,659552
andhra-pradesh,2018,4,krishna ,682479
andhra-pradesh,2018,4,spsr nellore ,407495
andhra-pradesh,2018,4,vizianagaram ,257824
andhra-pradesh,2018,4,ysr ,387058
andhra-pradesh,2018,4,west godavari ,435668
andhra-pradesh,2018,4,chittoor ,665280
andhra-pradesh,2019,1,east godavari ,839277
andhra-pradesh,2019,1,srikakulam ,345775
andhra-pradesh,2019,1,visakhapatnam ,1174517
andhra-pradesh,2019,1,prakasam ,474260
andhra-pradesh,2019,1,anantapur ,612162
andhra-pradesh,2019,1,kurnool ,599422
andhra-pradesh,2019,1,guntur ,802394
andhra-pradesh,2019,1,krishna ,833694
andhra-pradesh,2019,1,spsr nellore ,491908
andhra-pradesh,2019,1,vizianagaram ,313334
andhra-pradesh,2019,1,ysr ,460590
andhra-pradesh,2019,1,west godavari ,523372
andhra-pradesh,2019,1,chittoor ,812314
andhra-pradesh,2019,2,east godavari ,945181
andhra-pradesh,2019,2,srikakulam ,392764
andhra-pradesh,2019,2,visakhapatnam ,1318740
